title,category_label,author_group,source_work,life,final_strength,strength_stars,final_complexity,complexity_stars,rule_boundary,electronicization_level,roles,rule_concepts,risks,needs_author_review,summary
白飞飞,战斗人物,古龙,武林外史,700,4.16,★★★★☆,5.0,★★★★★,5.0,极高,持续输出、肉盾/生存、控制/封锁、位置/场景、胜负特判、空间/离场裁定、多人一卡,杀死/死亡/生命、攻击/伤害/生命流失、回合/轮/时机、离场/不在场/找不到/无此人、专属/身份、多人一卡/共享生命,空间状态风险、状态交互风险、回合/轮/时机边界、多人一卡结构边界、存在状态边界、循环/累积风险、攻击/伤害/生命流失概念边界、文本解释风险、目标/来源风险、结算顺序风险、胜负裁定风险,电子化/结算风险较高、规则概念边界复杂、同类规则边界复杂度前 10%、同类文本复杂度靠前、同类影响力靠前,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★★；规则边界分位 95%。
傅红雪,战斗人物,古龙,天涯明月刀,2000,4.0,★★★★☆,5.0,★★★★★,4.07,极高,爆发输出、持续输出、肉盾/生存、控制/封锁、空间/离场裁定,杀死/死亡/生命、回合/轮/时机、专属/身份、离场/不在场/找不到/无此人,状态交互风险、随机/人工裁定风险、循环/累积风险、回合/轮/时机边界、存在状态边界、目标/来源风险、空间状态风险,电子化/结算风险较高、规则概念边界复杂、同类文本复杂度靠前、同类影响力靠前,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★★；规则边界分位 73%。
谢晓峰,战斗人物,古龙,三少爷的剑,2600,2.28,★★☆☆☆,3.07,★★★☆☆,2.52,低,肉盾/生存,专属/身份、回合/轮/时机、杀死/死亡/生命,回合/轮/时机边界、状态交互风险、结算顺序风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 30%。
燕十三,战斗人物,古龙,三少爷的剑,2500,1.99,★★☆☆☆,3.65,★★★★☆,1.76,低,肉盾/生存、控制/封锁、胜负特判,专属/身份、杀死/死亡/生命,目标/来源风险、状态交互风险、胜负裁定风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 8%。
小马,战斗人物,古龙,拳头,2500,2.86,★★★☆☆,3.27,★★★☆☆,2.87,低,阵营/结盟、资源/牌堆,玩家/一方/阵营/结盟、专属/身份、杀死/死亡/生命、牌堆/弃牌/本局弃卡,随机/人工裁定风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 40%。
杜云天,战斗人物,古龙,情人箭,3999,2.93,★★★☆☆,2.88,★★★☆☆,1.87,低,爆发输出、肉盾/生存、控制/封锁、阵营/结盟,攻击/伤害/生命流失、玩家/一方/阵营/结盟,状态交互风险、目标/来源风险、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 12%。
宫锦弼,战斗人物,古龙,情人箭,2800,3.31,★★★☆☆,2.91,★★★☆☆,2.5,低,爆发输出,杀死/死亡/生命、攻击/伤害/生命流失、专属/身份,攻击/伤害/生命流失概念边界、文本解释风险、结算顺序风险、随机/人工裁定风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 29%。
蓝天鎚,战斗人物,古龙,情人箭,4600,1.88,★★☆☆☆,3.03,★★★☆☆,3.25,低,待观察、位置/场景,场景/地点/空间、回合/轮/时机、专属/身份、玩家/一方/阵营/结盟,结算顺序风险、回合/轮/时机边界、目标/来源风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 52%。
展梦白,战斗人物,古龙,情人箭,,2.76,★★★☆☆,3.08,★★★☆☆,1.79,中,控制/封锁,专属/身份、杀死/死亡/生命,状态交互风险、循环/累积风险、目标/来源风险、随机/人工裁定风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 10%。
白玉京,战斗人物,古龙,七武器,2300,1.82,★★☆☆☆,3.14,★★★☆☆,1.57,低,持续输出、肉盾/生存,杀死/死亡/生命,循环/累积风险、状态交互风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 5%。
狄青麟,战斗人物,古龙,七武器,1700,1.96,★★☆☆☆,2.85,★★★☆☆,2.47,低,待观察,杀死/死亡/生命、专属/身份、攻击/伤害/生命流失,攻击/伤害/生命流失概念边界、文本解释风险、状态交互风险、目标/来源风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 27%。
高立,战斗人物,古龙,七武器,2400,2.78,★★★☆☆,2.79,★★★☆☆,2.98,低,持续输出、控制/封锁、对象清除裁定,攻击/伤害/生命流失、杀死/死亡/生命、清除/卡与人物单元,状态交互风险、卡对象与人物单元边界、循环/累积风险、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 44%。
萧少英,战斗人物,古龙,七武器,2400,3.06,★★★☆☆,3.75,★★★★☆,4.29,低,爆发输出、控制/封锁、阵营/结盟、胜负特判、位置/场景、多人一卡,杀死/死亡/生命、专属/身份、场景/地点/空间、多人一卡/共享生命、玩家/一方/阵营/结盟,目标/来源风险、多人一卡结构边界、文本解释风险、状态交互风险、胜负裁定风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 79%。
杨铮,战斗人物,古龙,七武器,3600,2.95,★★★☆☆,3.6,★★★★☆,2.19,低,肉盾/生存、控制/封锁,杀死/死亡/生命、攻击/伤害/生命流失,状态交互风险、循环/累积风险、攻击/伤害/生命流失概念边界、文本解释风险、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 21%。
柳长街,战斗人物,古龙,七杀手,2500,2.51,★★★☆☆,2.47,★★☆☆☆,1.76,低,控制/封锁,专属/身份、杀死/死亡/生命,循环/累积风险、状态交互风险、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★☆☆☆；规则边界分位 8%。
凤三,战斗人物,古龙,名剑风流,3333,3.14,★★★☆☆,3.26,★★★☆☆,2.97,低,爆发输出、控制/封锁、阵营/结盟,攻击/伤害/生命流失、回合/轮/时机、玩家/一方/阵营/结盟、专属/身份,状态交互风险、回合/轮/时机边界、攻击/伤害/生命流失概念边界、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 43%。
俞佩玉,战斗人物,古龙,名剑风流,2800,2.88,★★★☆☆,4.66,★★★★★,4.33,低,肉盾/生存、阵营/结盟、对象清除裁定,杀死/死亡/生命、攻击/伤害/生命流失、回合/轮/时机、专属/身份、清除/卡与人物单元、玩家/一方/阵营/结盟,目标/来源风险、卡对象与人物单元边界、回合/轮/时机边界、攻击/伤害/生命流失概念边界、状态交互风险、结算顺序风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 80%。
宫九,战斗人物,古龙,陆小凤传奇,0,2.32,★★☆☆☆,2.97,★★★☆☆,2.56,低,待观察,杀死/死亡/生命、专属/身份、攻击/伤害/生命流失,文本解释风险、攻击/伤害/生命流失概念边界、状态交互风险、目标/来源风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 31%。
公孙大娘,战斗人物,古龙,陆小凤传奇,2500,2.73,★★★☆☆,4.58,★★★★★,5.0,中,资源/学习、阵营/结盟、规则解释高风险、人工裁定、资源/牌堆,玩家/一方/阵营/结盟、杀死/死亡/生命、专属/身份、回合/轮/时机、学习/复制/特技所有权、文本修改/人工裁定、牌堆/弃牌/本局弃卡,人工裁定边界、回合/轮/时机边界、文本解释风险、目标/来源风险、结算顺序风险,规则概念边界复杂、同类规则边界复杂度前 10%、人工裁定边界,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 95%。
花满楼,战斗人物,古龙,陆小凤传奇,2000,2.31,★★☆☆☆,3.56,★★★★☆,1.59,中,持续输出、阵营/结盟,专属/身份、玩家/一方/阵营/结盟,状态交互风险、目标/来源风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 5%。
金九龄,战斗人物,古龙,陆小凤传奇,2300,2.34,★★☆☆☆,3.31,★★★☆☆,2.19,低,肉盾/生存,回合/轮/时机、专属/身份,状态交互风险、回合/轮/时机边界、循环/累积风险、文本解释风险、结算顺序风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 21%。
老实和尚,战斗人物,古龙,陆小凤传奇,3100,1.66,★★☆☆☆,2.33,★★☆☆☆,1.68,低,待观察、资源/牌堆,牌堆/弃牌/本局弃卡,,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 7%。
陆小凤,战斗人物,古龙,陆小凤传奇,2000,2.63,★★★☆☆,3.66,★★★★☆,2.27,低,持续输出、资源/学习、位置/场景、阵营/结盟,攻击/伤害/生命流失、专属/身份、玩家/一方/阵营/结盟,攻击/伤害/生命流失概念边界、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 22%。
木道人,战斗人物,古龙,陆小凤传奇,1400,3.34,★★★☆☆,5.0,★★★★★,5.0,中,爆发输出、控制/封锁、位置/场景、阵营/结盟、胜负特判、对象清除裁定、空间/离场裁定,场景/地点/空间、回合/轮/时机、专属/身份、清除/卡与人物单元、玩家/一方/阵营/结盟、杀死/死亡/生命、离场/不在场/找不到/无此人,状态交互风险、目标/来源风险、卡对象与人物单元边界、回合/轮/时机边界、存在状态边界、空间状态风险、胜负裁定风险,规则概念边界复杂、同类规则边界复杂度前 10%,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 95%。
司空摘星,战斗人物,古龙,陆小凤传奇,1900,2.43,★★☆☆☆,5.0,★★★★★,3.44,低,持续输出、控制/封锁、资源/学习、阵营/结盟、胜负特判、对象清除裁定,回合/轮/时机、清除/卡与人物单元、玩家/一方/阵营/结盟、专属/身份,卡对象与人物单元边界、回合/轮/时机边界、循环/累积风险、文本解释风险、状态交互风险、胜负裁定风险,同类文本复杂度靠前,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★★；规则边界分位 59%。
西门吹雪,战斗人物,古龙,陆小凤传奇,2600,2.73,★★★☆☆,3.62,★★★★☆,2.57,低,爆发输出、持续输出、控制/封锁、位置/场景,场景/地点/空间、专属/身份、杀死/死亡/生命,循环/累积风险、状态交互风险、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 31%。
叶孤城,战斗人物,古龙,陆小凤传奇,2600,2.99,★★★☆☆,4.19,★★★★☆,3.38,中,爆发输出、持续输出、控制/封锁、位置/场景、胜负特判、空间/离场裁定,离场/不在场/找不到/无此人、专属/身份、杀死/死亡/生命、玩家/一方/阵营/结盟,空间状态风险、目标/来源风险、存在状态边界、文本解释风险、状态交互风险、胜负裁定风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 57%。
孟星魂,战斗人物,古龙,流星蝴蝶剑,,3.76,★★★★☆,3.41,★★★☆☆,3.41,中,爆发输出、肉盾/生存、控制/封锁、位置/场景、胜负特判、空间/离场裁定,杀死/死亡/生命、离场/不在场/找不到/无此人、专属/身份、玩家/一方/阵营/结盟,状态交互风险、目标/来源风险、空间状态风险、胜负裁定风险、存在状态边界、文本解释风险,,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★☆☆；规则边界分位 59%。
黑蜘蛛,战斗人物,古龙,绝代双骄,2000,2.37,★★☆☆☆,4.69,★★★★★,5.0,高,位置/场景、阵营/结盟、规则解释高风险、空间/离场裁定、人工裁定,文本修改/人工裁定、离场/不在场/找不到/无此人、专属/身份、杀死/死亡/生命、玩家/一方/阵营/结盟、场景/地点/空间,文本解释风险、空间状态风险、人工裁定边界、存在状态边界、状态交互风险、目标/来源风险、结算顺序风险,电子化/结算风险较高、规则概念边界复杂、同类规则边界复杂度前 10%、人工裁定边界,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★★；规则边界分位 95%。
花无缺,战斗人物,古龙,绝代双骄,2200,2.28,★★☆☆☆,3.37,★★★☆☆,2.75,低,肉盾/生存、阵营/结盟,杀死/死亡/生命、攻击/伤害/生命流失、专属/身份、玩家/一方/阵营/结盟,状态交互风险、攻击/伤害/生命流失概念边界、目标/来源风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 38%。
江别鹤,战斗人物,古龙,绝代双骄,2525,1.92,★★☆☆☆,3.64,★★★★☆,2.1,低,爆发输出,专属/身份、杀死/死亡/生命、玩家/一方/阵营/结盟,目标/来源风险、状态交互风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 18%。
江小鱼,战斗人物,古龙,绝代双骄,1800,4.08,★★★★☆,4.64,★★★★★,4.15,中,持续输出、肉盾/生存、控制/封锁、资源/学习、阵营/结盟,攻击/伤害/生命流失、专属/身份、回合/轮/时机、杀死/死亡/生命、学习/复制/特技所有权、玩家/一方/阵营/结盟,状态交互风险、目标/来源风险、回合/轮/时机边界、攻击/伤害/生命流失概念边界,规则概念边界复杂、同类影响力靠前,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★★；规则边界分位 75%。
怜星,战斗人物,古龙,绝代双骄,3100,3.24,★★★☆☆,3.68,★★★★☆,3.97,低,爆发输出、肉盾/生存、控制/封锁、对象清除裁定、资源/牌堆,攻击/伤害/生命流失、专属/身份、杀死/死亡/生命、清除/卡与人物单元、牌堆/弃牌/本局弃卡,状态交互风险、目标/来源风险、卡对象与人物单元边界、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 71%。
铁无双,战斗人物,古龙,绝代双骄,3800,2.7,★★★☆☆,2.37,★★☆☆☆,1.31,低,肉盾/生存、控制/封锁、阵营/结盟,玩家/一方/阵营/结盟,状态交互风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★☆☆☆；规则边界分位 2%。
魏无牙,战斗人物,古龙,绝代双骄,1000,2.73,★★★☆☆,4.88,★★★★★,3.99,高,持续输出、控制/封锁、对象清除裁定,杀死/死亡/生命、回合/轮/时机、攻击/伤害/生命流失、专属/身份、清除/卡与人物单元,随机/人工裁定风险、卡对象与人物单元边界、回合/轮/时机边界、攻击/伤害/生命流失概念边界、状态交互风险、目标/来源风险,电子化/结算风险较高,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★★；规则边界分位 72%。
燕南天,战斗人物,古龙,绝代双骄,4400,3.8,★★★★☆,3.37,★★★☆☆,3.45,低,爆发输出、肉盾/生存、控制/封锁、阵营/结盟,攻击/伤害/生命流失、回合/轮/时机、专属/身份、杀死/死亡/生命、玩家/一方/阵营/结盟,状态交互风险、结算顺序风险、回合/轮/时机边界、攻击/伤害/生命流失概念边界、目标/来源风险,,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★☆☆；规则边界分位 60%。
邀月,战斗人物,古龙,绝代双骄,3300,4.08,★★★★☆,4.78,★★★★★,4.28,低,爆发输出、肉盾/生存、控制/封锁、阵营/结盟、对象清除裁定、资源/牌堆,攻击/伤害/生命流失、杀死/死亡/生命、专属/身份、清除/卡与人物单元、牌堆/弃牌/本局弃卡、玩家/一方/阵营/结盟,状态交互风险、目标/来源风险、卡对象与人物单元边界、攻击/伤害/生命流失概念边界、文本解释风险,规则概念边界复杂、同类影响力靠前,第四轮收敛：最终影响力 ★★★★☆，最终复杂度 ★★★★★；规则边界分位 78%。
叶开,战斗人物,古龙,九月鹰飞,2000,3.06,★★★☆☆,3.72,★★★★☆,2.01,低,肉盾/生存、控制/封锁、资源/学习,专属/身份、学习/复制/特技所有权,状态交互风险、结算顺序风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 13%。
芮伟,战斗人物,古龙,剑玄录,,1.83,★★☆☆☆,2.26,★★☆☆☆,2.75,低,控制/封锁、资源/学习、资源/牌堆,专属/身份、学习/复制/特技所有权、牌堆/弃牌/本局弃卡,结算顺序风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 38%。
东海白衣人,战斗人物,古龙,浣花洗剑录,,2.81,★★★☆☆,3.33,★★★☆☆,4.6,低,爆发输出、位置/场景、多人一卡、空间/离场裁定,攻击/伤害/生命流失、回合/轮/时机、多人一卡/共享生命、离场/不在场/找不到/无此人,回合/轮/时机边界、多人一卡结构边界、存在状态边界、攻击/伤害/生命流失概念边界、空间状态风险、结算顺序风险,规则概念边界复杂,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 85%。
方宝玉,战斗人物,古龙,浣花洗剑录,2100,1.78,★★☆☆☆,2.84,★★★☆☆,1.28,低,控制/封锁、阵营/结盟,玩家/一方/阵营/结盟,状态交互风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 1%。
紫衣侯,战斗人物,古龙,浣花洗剑录,3800,2.52,★★★☆☆,3.47,★★★☆☆,3.95,低,肉盾/生存、位置/场景、空间/离场裁定、对象清除裁定,回合/轮/时机、清除/卡与人物单元、离场/不在场/找不到/无此人,状态交互风险、卡对象与人物单元边界、回合/轮/时机边界、存在状态边界、文本解释风险、空间状态风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 71%。
欢乐英雄,战斗人物,古龙,欢乐英雄,1000*4,2.74,★★★☆☆,3.9,★★★★☆,2.66,低,爆发输出、肉盾/生存、控制/封锁、位置/场景,场景/地点/空间、专属/身份、杀死/死亡/生命,状态交互风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 34%。
裴珏,战斗人物,古龙,孤星传,2300,2.76,★★★☆☆,2.81,★★★☆☆,1.82,低,爆发输出、阵营/结盟,杀死/死亡/生命、玩家/一方/阵营/结盟,状态交互风险、随机/人工裁定风险、目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 11%。
千手书生,战斗人物,古龙,孤星传,2000*2,2.25,★★☆☆☆,4.48,★★★★☆,4.3,高,爆发输出、阵营/结盟、多人一卡,回合/轮/时机、专属/身份、多人一卡/共享生命、杀死/死亡/生命、玩家/一方/阵营/结盟,随机/人工裁定风险、文本解释风险、回合/轮/时机边界、多人一卡结构边界、结算顺序风险,电子化/结算风险较高、规则概念边界复杂,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 79%。
檀明,战斗人物,古龙,孤星传,4100,2.32,★★☆☆☆,3.53,★★★★☆,2.41,低,阵营/结盟,攻击/伤害/生命流失、杀死/死亡/生命、玩家/一方/阵营/结盟,攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★★☆；规则边界分位 25%。
李坏,战斗人物,古龙,飞刀又见飞刀,1700,2.56,★★★☆☆,3.52,★★★★☆,5.0,中,位置/场景、胜负特判、空间/离场裁定、多人一卡,攻击/伤害/生命流失、杀死/死亡/生命、离场/不在场/找不到/无此人、专属/身份、回合/轮/时机、多人一卡/共享生命、玩家/一方/阵营/结盟,空间状态风险、回合/轮/时机边界、多人一卡结构边界、存在状态边界、攻击/伤害/生命流失概念边界、结算顺序风险、胜负裁定风险,规则概念边界复杂、同类规则边界复杂度前 10%,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 95%。
月神,战斗人物,古龙,飞刀又见飞刀,1600,1.63,★★☆☆☆,3.03,★★★☆☆,4.22,低,规则解释高风险、人工裁定、空间/离场裁定,专属/身份、文本修改/人工裁定、杀死/死亡/生命、离场/不在场/找不到/无此人,人工裁定边界、存在状态边界、文本解释风险、空间状态风险,规则概念边界复杂、人工裁定边界,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★★☆☆；规则边界分位 77%。
大欢喜女菩萨,战斗人物,古龙,多情剑客无情剑,10000,2.83,★★★☆☆,1.73,★★☆☆☆,1.85,低,爆发输出,杀死/死亡/生命、专属/身份,状态交互风险、随机/人工裁定风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★☆☆☆；规则边界分位 12%。
阿飞,战斗人物,古龙,多情剑客无情剑,3100,1.71,★★☆☆☆,1.73,★★☆☆☆,1.56,低,阵营/结盟,专属/身份、玩家/一方/阵营/结盟,,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 4%。
郭嵩阳,战斗人物,古龙,多情剑客无情剑,3550,2.0,★★☆☆☆,2.46,★★☆☆☆,3.4,低,待观察、资源/牌堆、对象清除裁定,专属/身份、攻击/伤害/生命流失、清除/卡与人物单元、牌堆/弃牌/本局弃卡,卡对象与人物单元边界、攻击/伤害/生命流失概念边界、状态交互风险,,第四轮收敛：最终影响力 ★★☆☆☆，最终复杂度 ★★☆☆☆；规则边界分位 58%。
荆无命,战斗人物,古龙,多情剑客无情剑,2400,2.91,★★★☆☆,3.49,★★★☆☆,2.75,低,持续输出、肉盾/生存、阵营/结盟,攻击/伤害/生命流失、杀死/死亡/生命、专属/身份、玩家/一方/阵营/结盟,循环/累积风险、文本解释风险、目标/来源风险、攻击/伤害/生命流失概念边界,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 38%。
李寻欢,战斗人物,古龙,多情剑客无情剑,2000,2.99,★★★☆☆,2.66,★★★☆☆,1.79,低,爆发输出、肉盾/生存、阵营/结盟,杀死/死亡/生命、玩家/一方/阵营/结盟,目标/来源风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★☆☆；规则边界分位 10%。
林仙儿,战斗人物,古龙,多情剑客无情剑,700*2,3.05,★★★☆☆,3.56,★★★★☆,2.58,低,爆发输出、持续输出、控制/封锁、资源/学习,杀死/死亡/生命、专属/身份、学习/复制/特技所有权,状态交互风险,,第四轮收敛：最终影响力 ★★★☆☆，最终复杂度 ★★★★☆；规则边界分位 32%。
