title,category_label,author_group,source_work,life,strength_adjusted,strength_stars,complexity,complexity_stars,electronicization_level,roles,risks,needs_author_review,summary
宫锦弼,战斗人物,古龙,情人箭,2800,3.23,★★★☆☆,2.91,★★★☆☆,低,爆发输出,文本解释风险、结算顺序风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 87%，同类复杂度分位 15%。
蓝天鎚,战斗人物,古龙,情人箭,4600,1.88,★★☆☆☆,3.03,★★★☆☆,低,待观察,结算顺序风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 12%，同类复杂度分位 19%。
展梦白,战斗人物,古龙,情人箭,,2.68,★★★☆☆,3.08,★★★☆☆,中,控制/封锁,状态交互风险、循环/累积风险、目标/来源风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 53%，同类复杂度分位 21%。
白玉京,战斗人物,古龙,七武器,2300,1.74,★★☆☆☆,3.14,★★★☆☆,低,持续输出、肉盾/生存,循环/累积风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 5%，同类复杂度分位 23%。
狄青麟,战斗人物,古龙,七武器,1700,1.88,★★☆☆☆,2.85,★★★☆☆,低,待观察,文本解释风险、状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 12%，同类复杂度分位 14%。
高立,战斗人物,古龙,七武器,2400,2.7,★★★☆☆,2.79,★★★☆☆,低,持续输出、控制/封锁,状态交互风险、循环/累积风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 55%，同类复杂度分位 12%。
萧少英,战斗人物,古龙,七武器,2400,2.98,★★★☆☆,3.5,★★★★☆,低,爆发输出、控制/封锁、阵营/结盟、胜负特判,目标/来源风险、文本解释风险、状态交互风险、胜负裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 76%，同类复杂度分位 39%。
杨铮,战斗人物,古龙,七武器,3600,2.87,★★★☆☆,3.6,★★★★☆,低,肉盾/生存、控制/封锁,状态交互风险、循环/累积风险、文本解释风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 67%，同类复杂度分位 44%。
柳长街,战斗人物,古龙,七杀手,2500,2.43,★★☆☆☆,2.47,★★☆☆☆,低,控制/封锁,循环/累积风险、状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 36%，同类复杂度分位 7%。
凤三,战斗人物,古龙,名剑风流,3333,3.14,★★★☆☆,3.26,★★★☆☆,低,爆发输出、控制/封锁、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 85%，同类复杂度分位 27%。
俞佩玉,战斗人物,古龙,名剑风流,2800,2.8,★★★☆☆,4.41,★★★★☆,低,肉盾/生存、阵营/结盟,目标/来源风险、状态交互风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 62%，同类复杂度分位 76%。
宫九,战斗人物,古龙,陆小凤传奇,0,2.24,★★☆☆☆,2.97,★★★☆☆,低,待观察,文本解释风险、状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 22%，同类复杂度分位 17%。
公孙大娘,战斗人物,古龙,陆小凤传奇,2500,2.65,★★★☆☆,4.08,★★★★☆,中,资源/学习、阵营/结盟、规则解释高风险,文本解释风险、目标/来源风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 51%，同类复杂度分位 64%。
花满楼,战斗人物,古龙,陆小凤传奇,2000,2.31,★★☆☆☆,3.56,★★★★☆,中,持续输出、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 27%，同类复杂度分位 43%。
金九龄,战斗人物,古龙,陆小凤传奇,2300,2.34,★★☆☆☆,3.31,★★★☆☆,低,肉盾/生存,状态交互风险、循环/累积风险、文本解释风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 30%，同类复杂度分位 31%。
老实和尚,战斗人物,古龙,陆小凤传奇,3100,1.66,★★☆☆☆,2.33,★★☆☆☆,低,待观察,,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 1%，同类复杂度分位 4%。
陆小凤,战斗人物,古龙,陆小凤传奇,2000,2.63,★★★☆☆,3.66,★★★★☆,低,持续输出、资源/学习、位置/场景、阵营/结盟,目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 50%，同类复杂度分位 47%。
木道人,战斗人物,古龙,陆小凤传奇,1400,3.26,★★★☆☆,4.87,★★★★★,中,爆发输出、控制/封锁、位置/场景、阵营/结盟、胜负特判,状态交互风险、目标/来源风险、空间状态风险、胜负裁定风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 89%，同类复杂度分位 87%。
司空摘星,战斗人物,古龙,陆小凤传奇,1900,2.35,★★☆☆☆,5.0,★★★★★,低,持续输出、控制/封锁、资源/学习、阵营/结盟、胜负特判,循环/累积风险、文本解释风险、状态交互风险、胜负裁定风险,自动理解置信度不高、同类复杂度前 10%,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 31%，同类复杂度分位 95%。
西门吹雪,战斗人物,古龙,陆小凤传奇,2600,2.65,★★★☆☆,3.62,★★★★☆,低,爆发输出、持续输出、控制/封锁,循环/累积风险、状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 51%，同类复杂度分位 45%。
叶孤城,战斗人物,古龙,陆小凤传奇,2600,2.91,★★★☆☆,4.19,★★★★☆,中,爆发输出、持续输出、控制/封锁、位置/场景、胜负特判,空间状态风险、目标/来源风险、文本解释风险、状态交互风险、胜负裁定风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 70%，同类复杂度分位 68%。
孟星魂,战斗人物,古龙,流星蝴蝶剑,,3.6,★★★★☆,3.41,★★★☆☆,中,爆发输出、肉盾/生存、控制/封锁、位置/场景、胜负特判,状态交互风险、目标/来源风险、空间状态风险、胜负裁定风险、文本解释风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 91%，同类复杂度分位 35%。
黑蜘蛛,战斗人物,古龙,绝代双骄,2000,2.29,★★☆☆☆,4.19,★★★★☆,高,位置/场景、阵营/结盟、规则解释高风险,文本解释风险、空间状态风险、状态交互风险、目标/来源风险、结算顺序风险,自动理解置信度不高、电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 25%，同类复杂度分位 68%。
花无缺,战斗人物,古龙,绝代双骄,2200,2.2,★★☆☆☆,3.37,★★★☆☆,低,肉盾/生存、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 18%，同类复杂度分位 33%。
江别鹤,战斗人物,古龙,绝代双骄,2525,1.84,★★☆☆☆,3.64,★★★★☆,低,爆发输出,目标/来源风险、状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 10%，同类复杂度分位 46%。
江小鱼,战斗人物,古龙,绝代双骄,1800,4.0,★★★★☆,4.64,★★★★★,中,持续输出、肉盾/生存、控制/封锁、资源/学习、阵营/结盟,状态交互风险、目标/来源风险,自动理解置信度不高、同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 98%，同类复杂度分位 82%。
怜星,战斗人物,古龙,绝代双骄,3100,3.16,★★★☆☆,3.68,★★★★☆,低,爆发输出、肉盾/生存、控制/封锁,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 85%，同类复杂度分位 49%。
铁无双,战斗人物,古龙,绝代双骄,3800,2.7,★★★☆☆,2.37,★★☆☆☆,低,肉盾/生存、控制/封锁、阵营/结盟,状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 55%，同类复杂度分位 5%。
魏无牙,战斗人物,古龙,绝代双骄,1000,2.65,★★★☆☆,4.88,★★★★★,高,持续输出、控制/封锁,随机/人工裁定风险、状态交互风险、目标/来源风险,自动理解置信度不高、电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 51%，同类复杂度分位 88%。
燕南天,战斗人物,古龙,绝代双骄,4400,3.72,★★★★☆,3.37,★★★☆☆,低,爆发输出、肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、结算顺序风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 94%，同类复杂度分位 33%。
邀月,战斗人物,古龙,绝代双骄,3300,4.0,★★★★☆,4.53,★★★★★,低,爆发输出、肉盾/生存、控制/封锁、阵营/结盟,状态交互风险、目标/来源风险、文本解释风险,同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 98%，同类复杂度分位 79%。
叶开,战斗人物,古龙,九月鹰飞,2000,3.06,★★★☆☆,3.72,★★★★☆,低,肉盾/生存、控制/封锁、资源/学习,状态交互风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 81%，同类复杂度分位 50%。
芮伟,战斗人物,古龙,剑玄录,,1.83,★★☆☆☆,2.26,★★☆☆☆,低,控制/封锁、资源/学习,结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 10%，同类复杂度分位 3%。
东海白衣人,战斗人物,古龙,浣花洗剑录,,2.81,★★★☆☆,3.08,★★★☆☆,低,爆发输出、位置/场景,空间状态风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 63%，同类复杂度分位 21%。
方宝玉,战斗人物,古龙,浣花洗剑录,2100,1.78,★★☆☆☆,2.84,★★★☆☆,低,控制/封锁、阵营/结盟,状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 7%，同类复杂度分位 13%。
紫衣侯,战斗人物,古龙,浣花洗剑录,3800,2.44,★★☆☆☆,3.47,★★★☆☆,低,肉盾/生存、位置/场景,状态交互风险、文本解释风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 37%，同类复杂度分位 38%。
欢乐英雄,战斗人物,古龙,欢乐英雄,1000*4,2.66,★★★☆☆,3.9,★★★★☆,低,爆发输出、肉盾/生存、控制/封锁,状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 52%，同类复杂度分位 57%。
裴珏,战斗人物,古龙,孤星传,2300,2.68,★★★☆☆,2.81,★★★☆☆,低,爆发输出、阵营/结盟,状态交互风险、随机/人工裁定风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 53%，同类复杂度分位 12%。
千手书生,战斗人物,古龙,孤星传,2000*2,2.17,★★☆☆☆,4.23,★★★★☆,高,爆发输出、阵营/结盟,随机/人工裁定风险、文本解释风险、结算顺序风险,电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 16%，同类复杂度分位 70%。
檀明,战斗人物,古龙,孤星传,4100,2.24,★★☆☆☆,3.53,★★★★☆,低,阵营/结盟,,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 22%，同类复杂度分位 41%。
李坏,战斗人物,古龙,飞刀又见飞刀,1700,2.48,★★☆☆☆,3.27,★★★☆☆,中,位置/场景、胜负特判,空间状态风险、结算顺序风险、胜负裁定风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 39%，同类复杂度分位 28%。
月神,战斗人物,古龙,飞刀又见飞刀,1600,1.55,★★☆☆☆,2.53,★★★☆☆,低,规则解释高风险,文本解释风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 0%，同类复杂度分位 8%。
大欢喜女菩萨,战斗人物,古龙,多情剑客无情剑,10000,2.75,★★★☆☆,1.73,★★☆☆☆,低,爆发输出,状态交互风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 59%，同类复杂度分位 1%。
阿飞,战斗人物,古龙,多情剑客无情剑,3100,1.71,★★☆☆☆,1.73,★★☆☆☆,低,阵营/结盟,,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 4%，同类复杂度分位 1%。
郭嵩阳,战斗人物,古龙,多情剑客无情剑,3550,1.92,★★☆☆☆,2.46,★★☆☆☆,低,待观察,状态交互风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 14%，同类复杂度分位 7%。
荆无命,战斗人物,古龙,多情剑客无情剑,2400,2.83,★★★☆☆,3.49,★★★☆☆,低,持续输出、肉盾/生存、阵营/结盟,循环/累积风险、文本解释风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 65%，同类复杂度分位 39%。
李寻欢,战斗人物,古龙,多情剑客无情剑,2000,2.91,★★★☆☆,2.66,★★★☆☆,低,爆发输出、肉盾/生存、阵营/结盟,目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 70%，同类复杂度分位 10%。
林仙儿,战斗人物,古龙,多情剑客无情剑,700*2,2.97,★★★☆☆,3.56,★★★★☆,低,爆发输出、持续输出、控制/封锁、资源/学习,状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 75%，同类复杂度分位 43%。
上官金虹,战斗人物,古龙,多情剑客无情剑,,1.78,★★☆☆☆,3.0,★★★☆☆,低,爆发输出,,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 7%，同类复杂度分位 18%。
花双霜,战斗人物,古龙,大旗英雄传,1600,2.86,★★★☆☆,3.35,★★★☆☆,低,爆发输出、肉盾/生存、控制/封锁,状态交互风险、目标/来源风险、文本解释风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 66%，同类复杂度分位 32%。
日后,战斗人物,古龙,大旗英雄传,3500,2.31,★★☆☆☆,3.39,★★★☆☆,中,资源/学习、阵营/结盟,结算顺序风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 27%，同类复杂度分位 34%。
飧毒大师,战斗人物,古龙,大旗英雄传,4050,3.65,★★★★☆,4.63,★★★★★,中,爆发输出、持续输出、肉盾/生存、控制/封锁,目标/来源风险、状态交互风险、循环/累积风险、结算顺序风险,自动理解置信度不高,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 93%，同类复杂度分位 82%。
铁中棠,战斗人物,古龙,大旗英雄传,3700,2.36,★★☆☆☆,3.97,★★★★☆,低,爆发输出、阵营/结盟,状态交互风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 32%，同类复杂度分位 61%。
夜帝,战斗人物,古龙,大旗英雄传,2000,2.4,★★☆☆☆,2.01,★★☆☆☆,低,阵营/结盟,结算顺序风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 35%，同类复杂度分位 2%。
云铮,战斗人物,古龙,大旗英雄传,3600,2.17,★★☆☆☆,2.9,★★★☆☆,低,控制/封锁、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 16%，同类复杂度分位 15%。
朱藻,战斗人物,古龙,大旗英雄传,3000,2.42,★★☆☆☆,5.0,★★★★★,极高,爆发输出、控制/封锁、资源/学习、规则解释高风险,文本解释风险、目标/来源风险、结算顺序风险,自动理解置信度不高、电子化/结算风险较高、规则解释或人工裁定成分较重、同类复杂度前 10%,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 28%，同类复杂度分位 95%。
雷大鹏,战斗人物,古龙,大旗英雄传,5100,2.77,★★★☆☆,2.93,★★★☆☆,低,持续输出,循环/累积风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 60%，同类复杂度分位 16%。
风九幽,战斗人物,古龙,大旗英雄传,2900,2.98,★★★☆☆,3.88,★★★★☆,中,肉盾/生存、阵营/结盟,结算顺序风险、目标/来源风险、文本解释风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 76%，同类复杂度分位 57%。
卓三娘,战斗人物,古龙,大旗英雄传,2200,2.39,★★☆☆☆,3.18,★★★☆☆,低,持续输出、肉盾/生存,文本解释风险、状态交互风险、循环/累积风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 34%，同类复杂度分位 24%。
赤足汉,战斗人物,古龙,大旗英雄传,5000,3.12,★★★☆☆,4.31,★★★★☆,高,控制/封锁、阵营/结盟,目标/来源风险、结算顺序风险、随机/人工裁定风险,电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 83%，同类复杂度分位 73%。
班察巴那,战斗人物,古龙,大地飞鹰,3100,2.61,★★★☆☆,3.84,★★★★☆,中,位置/场景、阵营/结盟,文本解释风险、目标/来源风险、空间状态风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 49%，同类复杂度分位 56%。
卜鹰,战斗人物,古龙,大地飞鹰,1300,2.56,★★★☆☆,2.96,★★★☆☆,低,爆发输出、阵营/结盟,结算顺序风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 43%，同类复杂度分位 17%。
小方,战斗人物,古龙,大地飞鹰,1400,2.42,★★☆☆☆,2.73,★★★☆☆,低,爆发输出、肉盾/生存、阵营/结盟,循环/累积风险、状态交互风险、随机/人工裁定风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 36%，同类复杂度分位 11%。
楚留香,战斗人物,古龙,楚留香传奇,2000,1.94,★★☆☆☆,4.24,★★★★☆,低,持续输出、资源/学习、阵营/结盟,状态交互风险、文本解释风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 15%，同类复杂度分位 71%。
胡铁花,战斗人物,古龙,楚留香传奇,,2.75,★★★☆☆,4.55,★★★★★,高,爆发输出、控制/封锁、资源/学习、阵营/结盟、规则解释高风险,文本解释风险、状态交互风险、循环/累积风险、目标/来源风险、结算顺序风险,自动理解置信度不高、电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 59%，同类复杂度分位 79%。
石观音,战斗人物,古龙,楚留香传奇,2800,2.71,★★★☆☆,2.63,★★★☆☆,低,爆发输出、控制/封锁、阵营/结盟,,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 57%，同类复杂度分位 10%。
无花,战斗人物,古龙,楚留香传奇,2000,2.81,★★★☆☆,3.2,★★★☆☆,低,爆发输出、持续输出、肉盾/生存,循环/累积风险、文本解释风险、结算顺序风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 63%，同类复杂度分位 26%。
薛笑人,战斗人物,古龙,楚留香传奇,2700,2.36,★★☆☆☆,3.62,★★★★☆,低,爆发输出、持续输出,循环/累积风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 32%，同类复杂度分位 45%。
阴姬,战斗人物,古龙,楚留香传奇,4300,2.79,★★★☆☆,3.74,★★★★☆,低,爆发输出、控制/封锁,状态交互风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 62%，同类复杂度分位 51%。
原随云,战斗人物,古龙,楚留香传奇,2000,3.95,★★★★☆,5.0,★★★★★,高,爆发输出、控制/封锁、位置/场景、阵营/结盟,状态交互风险、目标/来源风险、空间状态风险、随机/人工裁定风险,自动理解置信度不高、电子化/结算风险较高、同类复杂度前 10%、同类强度前 5%,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 98%，同类复杂度分位 95%。
中原一点红,战斗人物,古龙,楚留香传奇,2000,3.62,★★★★☆,4.38,★★★★☆,高,爆发输出、肉盾/生存、控制/封锁、阵营/结盟,目标/来源风险、状态交互风险、随机/人工裁定风险,电子化/结算风险较高,第二轮按同类分布校正后，强度为 ★★★★☆；同类强度分位 92%，同类复杂度分位 75%。
段玉,战斗人物,古龙,碧玉刀,2200,1.91,★★☆☆☆,3.19,★★★☆☆,低,肉盾/生存、阵营/结盟,状态交互风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 14%，同类复杂度分位 25%。
上官刃,战斗人物,古龙,白玉老虎,3000,3.1,★★★☆☆,4.24,★★★★☆,低,爆发输出、持续输出、控制/封锁、资源/学习、阵营/结盟,文本解释风险、状态交互风险、循环/累积风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 82%，同类复杂度分位 71%。
赵无忌,战斗人物,古龙,白玉老虎,2000,1.84,★★☆☆☆,2.97,★★★☆☆,中,爆发输出、肉盾/生存、阵营/结盟、规则解释高风险,文本解释风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 10%，同类复杂度分位 17%。
丁喜,战斗人物,古龙,霸王枪,3100,1.71,★★☆☆☆,2.81,★★★☆☆,低,阵营/结盟,结算顺序风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 4%，同类复杂度分位 12%。
曹秋道,战斗人物,黄易,寻秦记,4444,2.29,★★☆☆☆,3.5,★★★★☆,低,爆发输出、持续输出、控制/封锁,状态交互风险、循环/累积风险、文本解释风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 25%，同类复杂度分位 39%。
项少龙,战斗人物,黄易,寻秦记,2600,2.37,★★☆☆☆,5.0,★★★★★,中,爆发输出、持续输出、阵营/结盟,循环/累积风险、状态交互风险、文本解释风险、结算顺序风险,自动理解置信度不高、同类复杂度前 10%,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 33%，同类复杂度分位 95%。
法明,战斗人物,黄易,日月当空,2689,2.87,★★★☆☆,3.18,★★★☆☆,中,肉盾/生存、控制/封锁、位置/场景、阵营/结盟,结算顺序风险、空间状态风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★★☆☆；同类强度分位 67%，同类复杂度分位 24%。
八师巴,战斗人物,黄易,破碎虚空,888,1.89,★★☆☆☆,2.38,★★☆☆☆,低,资源/学习、阵营/结盟,循环/累积风险、目标/来源风险,,第二轮按同类分布校正后，强度为 ★★☆☆☆；同类强度分位 13%，同类复杂度分位 5%。
